Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker
00h:00m:06s:441ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:726ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:828ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:767ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:809ms; 10; 0; 10; 0; ; ; ; ; 
00h:01m:29s:962ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:809ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:717ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:07s:523ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:687ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:685ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:800ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:691ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:58s:308ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:05s:920ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:708ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:723ms; 10; 0; 10; 0; ; ; ; ; 
00h:01m:30s:071ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:04s:638ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:41s:862ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:29s:855ms; 10; 0; 10; 0; ; ; ; ; 
00h:01m:28s:482ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:28s:801ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:34s:813ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:31s:023ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:31s:231ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:32s:949ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:33s:452ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:36s:991ms; 10; 0; 10; 0; ; ; ; ; 
00h:00m:19s:729ms; 10; 0; 10; 0; ; ; ; ; 
