Total Time;ClientToModule Success;ClientToModule Error;ResilienceModuleToExternalService Success;ResilienceModuleToExternalService Error;Retry Count;Retry TotalTimeout;CircuitBreaker Count;CircuitBreaker ResetCount;CircuitBreaker TotalOfBreaker
Total Time;ClientToModule Success;ClientToModule Error;ResilienceModuleToExternalService Success;ResilienceModuleToExternalService Error;Retry Count;Retry TotalTimeout;CircuitBreaker Count;CircuitBreaker ResetCount;CircuitBreaker TotalOfBreaker
00h:01m:10s:788ms;6;4;6;4;;;;;
00h:01m:10s:800ms;3;7;3;7;;;;;
00h:01m:11s:658ms;6;4;6;4;;;;;
00h:01m:10s:660ms;3;7;3;7;;;;;
00h:01m:12s:034ms;6;4;6;4;;;;;
00h:01m:10s:651ms;4;6;4;6;;;;;
00h:01m:00s:995ms;5;5;5;5;;;;;
00h:01m:10s:860ms;6;4;6;4;;;;;
00h:01m:11s:965ms;6;4;6;4;;;;;
00h:01m:11s:160ms;2;8;2;8;;;;;
00h:01m:11s:346ms;6;4;6;4;;;;;
00h:00m:22s:170ms;5;5;5;5;;;;;
00h:01m:12s:339ms;5;5;5;5;;;;;
00h:01m:11s:573ms;2;8;2;8;;;;;
00h:01m:11s:661ms;6;4;6;4;;;;;
00h:01m:11s:444ms;3;7;3;7;;;;;
00h:01m:12s:033ms;5;5;5;5;;;;;
00h:01m:12s:140ms;6;4;6;4;;;;;
00h:01m:11s:899ms;6;4;6;4;;;;;
00h:01m:12s:066ms;4;6;4;6;;;;;
00h:01m:10s:844ms;6;4;6;4;;;;;
00h:01m:11s:322ms;6;4;6;4;;;;;
00h:01m:12s:077ms;2;8;2;8;;;;;
00h:01m:11s:710ms;4;6;4;6;;;;;
00h:01m:13s:012ms;9;1;9;1;;;;;
00h:01m:12s:050ms;4;6;4;6;;;;;
00h:01m:11s:505ms;2;8;2;8;;;;;
00h:01m:12s:022ms;3;7;3;7;;;;;
00h:01m:12s:131ms;5;5;5;5;;;;;
00h:01m:08s:669ms;5;5;5;5;;;;;
00h:01m:12s:203ms;8;2;8;2;;;;;
00h:01m:06s:282ms;3;7;3;7;;;;;
00h:00m:54s:951ms;9;1;9;1;;;;;
00h:00m:57s:865ms;5;5;5;5;;;;;
00h:01m:05s:147ms;3;7;3;7;;;;;
00h:01m:10s:404ms;5;5;5;5;;;;;
00h:01m:09s:515ms;6;4;6;4;;;;;
00h:01m:12s:936ms;7;3;7;3;;;;;
00h:01m:07s:908ms;4;6;4;6;;;;;
00h:01m:06s:418ms;6;4;6;4;;;;;
00h:01m:12s:042ms;4;6;4;6;;;;;
00h:01m:03s:592ms;5;5;5;5;;;;;
00h:01m:02s:611ms;10;0;10;0;;;;;
00h:00m:59s:994ms;6;4;6;4;;;;;
00h:01m:00s:584ms;4;6;4;6;;;;;
00h:00m:50s:953ms;6;4;6;4;;;;;
00h:01m:03s:089ms;2;8;2;8;;;;;
00h:00m:56s:016ms;2;8;2;8;;;;;
00h:00m:58s:404ms;5;5;5;5;;;;;
00h:00m:55s:985ms;7;3;7;3;;;;;
00h:00m:53s:380ms;4;6;4;6;;;;;
00h:00m:25s:603ms;2;8;2;8;;;;;
00h:00m:46s:063ms;6;4;6;4;;;;;
00h:00m:49s:397ms;4;6;4;6;;;;;
00h:00m:52s:636ms;6;4;6;4;;;;;
00h:00m:52s:016ms;5;5;5;5;;;;;
00h:00m:46s:635ms;4;6;4;6;;;;;
00h:00m:27s:125ms;5;5;5;5;;;;;
00h:00m:23s:152ms;4;6;4;6;;;;;
00h:00m:44s:653ms;6;4;6;4;;;;;
00h:00m:36s:708ms;7;3;7;3;;;;;
00h:00m:48s:877ms;3;7;3;7;;;;;
00h:00m:48s:053ms;4;6;4;6;;;;;
00h:00m:33s:207ms;6;4;6;4;;;;;
00h:00m:30s:195ms;5;5;5;5;;;;;
00h:00m:40s:489ms;5;5;5;5;;;;;
00h:00m:41s:317ms;4;6;4;6;;;;;
00h:00m:31s:746ms;5;5;5;5;;;;;
00h:00m:41s:113ms;5;5;5;5;;;;;
00h:00m:34s:503ms;7;3;7;3;;;;;
