Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; ResilienceModuleToExternalService TotalSuccessTime; ResilienceModuleToExternalService TotalSuccessTimePerRequest; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker; 
3249; 10; 0; 10; 0; 3219; 321; 0; 0; ; ; ; 
3251; 10; 0; 10; 0; 3222; 322; 0; 0; ; ; ; 
3239; 10; 0; 10; 0; 3206; 320; 0; 0; ; ; ; 
3101; 10; 0; 10; 0; 3067; 306; 0; 0; ; ; ; 
3232; 10; 0; 10; 0; 3221; 322; 0; 0; ; ; ; 
3155; 10; 0; 10; 0; 3140; 314; 0; 0; ; ; ; 
3027; 10; 0; 10; 0; 3013; 301; 0; 0; ; ; ; 
3082; 10; 0; 10; 0; 3051; 305; 0; 0; ; ; ; 
3186; 10; 0; 10; 0; 3148; 314; 0; 0; ; ; ; 
3296; 10; 0; 10; 0; 3283; 328; 0; 0; ; ; ; 
3212; 10; 0; 10; 0; 3166; 316; 0; 0; ; ; ; 
3301; 10; 0; 10; 0; 3287; 328; 0; 0; ; ; ; 
3244; 10; 0; 10; 0; 3218; 321; 0; 0; ; ; ; 
3211; 10; 0; 10; 0; 3199; 319; 0; 0; ; ; ; 
3425; 10; 0; 10; 0; 3418; 341; 0; 0; ; ; ; 
3339; 10; 0; 10; 0; 3324; 332; 0; 0; ; ; ; 
2931; 10; 0; 10; 0; 2918; 291; 0; 0; ; ; ; 
3311; 10; 0; 10; 0; 3293; 329; 0; 0; ; ; ; 
3283; 10; 0; 10; 0; 3264; 326; 0; 0; ; ; ; 
3185; 10; 0; 10; 0; 3161; 316; 0; 0; ; ; ; 
3219; 10; 0; 10; 0; 3203; 320; 0; 0; ; ; ; 
3458; 10; 0; 10; 0; 3396; 339; 0; 0; ; ; ; 
3336; 10; 0; 10; 0; 3312; 331; 0; 0; ; ; ; 
3296; 10; 0; 10; 0; 3219; 321; 0; 0; ; ; ; 
3328; 10; 0; 10; 0; 3303; 330; 0; 0; ; ; ; 
3258; 10; 0; 10; 0; 3234; 323; 0; 0; ; ; ; 
3393; 10; 0; 10; 0; 3379; 337; 0; 0; ; ; ; 
3288; 10; 0; 10; 0; 3269; 326; 0; 0; ; ; ; 
3367; 10; 0; 10; 0; 3357; 335; 0; 0; ; ; ; 
3341; 10; 0; 10; 0; 3307; 330; 0; 0; ; ; ; 
3357; 10; 0; 10; 0; 3342; 334; 0; 0; ; ; ; 
3446; 10; 0; 10; 0; 3421; 342; 0; 0; ; ; ; 
3368; 10; 0; 10; 0; 3354; 335; 0; 0; ; ; ; 
3282; 10; 0; 10; 0; 3254; 325; 0; 0; ; ; ; 
3324; 10; 0; 10; 0; 3298; 329; 0; 0; ; ; ; 
3442; 10; 0; 10; 0; 3416; 341; 0; 0; ; ; ; 
3383; 10; 0; 10; 0; 3365; 336; 0; 0; ; ; ; 
3419; 10; 0; 10; 0; 3399; 339; 0; 0; ; ; ; 
3436; 10; 0; 10; 0; 3426; 342; 0; 0; ; ; ; 
3382; 10; 0; 10; 0; 3341; 334; 0; 0; ; ; ; 
3319; 10; 0; 10; 0; 3300; 330; 0; 0; ; ; ; 
3342; 10; 0; 10; 0; 3319; 331; 0; 0; ; ; ; 
3157; 10; 0; 10; 0; 3134; 313; 0; 0; ; ; ; 
3242; 10; 0; 10; 0; 3212; 321; 0; 0; ; ; ; 
3327; 10; 0; 10; 0; 3302; 330; 0; 0; ; ; ; 
3281; 10; 0; 10; 0; 3268; 326; 0; 0; ; ; ; 
3111; 10; 0; 10; 0; 3086; 308; 0; 0; ; ; ; 
3128; 10; 0; 10; 0; 3121; 312; 0; 0; ; ; ; 
3176; 10; 0; 10; 0; 3164; 316; 0; 0; ; ; ; 
3259; 10; 0; 10; 0; 3232; 323; 0; 0; ; ; ; 
