Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; ResilienceModuleToExternalService TotalSuccessTime; ResilienceModuleToExternalService TotalSuccessTimePerRequest; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker; 
108590; 10; 0; 10; 9; 791; 79; 9; 21000; ; ; ; 
111996; 10; 0; 10; 11; 88501; 8850; 11; 23000; ; ; ; 
121030; 10; 1; 10; 7; 110; 11; 6; 32000; ; ; ; 
106073; 10; 0; 10; 6; 88659; 8865; 6; 17000; ; ; ; 
90828; 10; 0; 10; 3; 532; 53; 3; 4000; ; ; ; 
111936; 10; 0; 10; 9; 89768; 8976; 9; 22000; ; ; ; 
99177; 10; 0; 10; 8; 764; 76; 8; 10000; ; ; ; 
120434; 10; 0; 10; 8; 86218; 8621; 8; 34000; ; ; ; 
99136; 10; 0; 10; 6; 88700; 8870; 6; 10000; ; ; ; 
99535; 10; 0; 10; 9; 268; 26; 9; 11000; ; ; ; 
94521; 10; 0; 10; 8; 673; 67; 8; 10000; ; ; ; 
113594; 10; 0; 10; 15; 611; 61; 15; 32000; ; ; ; 
81571; 10; 0; 10; 3; 77275; 7727; 3; 4000; ; ; ; 
105400; 10; 0; 10; 10; 79; 7; 10; 22000; ; ; ; 
88655; 10; 0; 10; 4; 82314; 8231; 4; 6000; ; ; ; 
118607; 10; 0; 10; 11; 627; 62; 11; 38000; ; ; ; 
98135; 10; 0; 10; 11; 79636; 7963; 11; 18000; ; ; ; 
161292; 10; 2; 10; 25; 708; 70; 23; 82000; ; ; ; 
87456; 10; 0; 10; 7; 175; 17; 7; 12000; ; ; ; 
87387; 10; 0; 10; 7; 77924; 7792; 7; 9000; ; ; ; 
44043; 10; 0; 10; 15; 11682; 1168; 15; 32000; ; ; ; 
81797; 10; 0; 10; 4; 76049; 7604; 4; 5000; ; ; ; 
80411; 10; 0; 10; 4; 75309; 7530; 4; 5000; ; ; ; 
88571; 10; 0; 10; 12; 801; 80; 12; 27000; ; ; ; 
107616; 10; 0; 10; 14; 67; 6; 14; 34000; ; ; ; 
109572; 10; 1; 10; 10; 72028; 7202; 9; 37000; ; ; ; 
26677; 10; 0; 10; 9; 917; 91; 9; 21000; ; ; ; 
93979; 10; 0; 10; 8; 72798; 7279; 8; 21000; ; ; ; 
78240; 10; 0; 10; 4; 71684; 7168; 4; 6000; ; ; ; 
88134; 10; 0; 10; 9; 69497; 6949; 9; 18000; ; ; ; 
121500; 10; 0; 10; 18; 843; 84; 18; 52000; ; ; ; 
104579; 10; 1; 10; 10; 69288; 6928; 9; 35000; ; ; ; 
81106; 10; 0; 10; 10; 197; 19; 10; 14000; ; ; ; 
75563; 10; 0; 10; 7; 66241; 6624; 7; 9000; ; ; ; 
68694; 10; 0; 10; 2; 66584; 6658; 2; 2000; ; ; ; 
102181; 10; 0; 10; 9; 65976; 6597; 9; 36000; ; ; ; 
66319; 10; 0; 10; 2; 1330; 133; 2; 2000; ; ; ; 
70475; 10; 0; 10; 6; 343; 34; 6; 7000; ; ; ; 
104670; 10; 0; 10; 12; 837; 83; 12; 42000; ; ; ; 
70543; 10; 0; 10; 10; 57024; 5702; 10; 13000; ; ; ; 
48979; 10; 0; 10; 4; 44344; 4434; 4; 4000; ; ; ; 
70763; 10; 0; 10; 9; 58221; 5822; 9; 12000; ; ; ; 
74685; 10; 0; 10; 8; 60110; 6011; 8; 14000; ; ; ; 
81770; 10; 0; 10; 9; 154; 15; 9; 21000; ; ; ; 
66213; 10; 0; 10; 5; 56916; 5691; 5; 9000; ; ; ; 
75115; 10; 0; 10; 10; 772; 77; 10; 19000; ; ; ; 
56372; 10; 0; 10; 5; 46856; 4685; 5; 9000; ; ; ; 
118851; 10; 1; 10; 21; 77; 7; 20; 65000; ; ; ; 
65003; 10; 0; 10; 10; 216; 21; 10; 14000; ; ; ; 
74763; 10; 0; 10; 11; 50339; 5033; 11; 24000; ; ; ; 
70165; 10; 0; 10; 9; 928; 92; 9; 15000; ; ; ; 
58801; 10; 0; 10; 4; 53380; 5338; 4; 5000; ; ; ; 
74144; 10; 0; 10; 10; 809; 80; 10; 22000; ; ; ; 
73583; 10; 0; 10; 11; 850; 85; 11; 24000; ; ; ; 
59162; 10; 0; 10; 7; 46718; 4671; 7; 12000; ; ; ; 
51742; 10; 0; 10; 3; 48386; 4838; 3; 3000; ; ; ; 
96225; 10; 1; 10; 13; 56; 5; 12; 50000; ; ; ; 
66766; 10; 0; 10; 9; 42102; 4210; 9; 24000; ; ; ; 
58998; 10; 0; 10; 9; 40524; 4052; 9; 18000; ; ; ; 
81859; 10; 0; 10; 14; 499; 49; 14; 42000; ; ; ; 
61417; 10; 0; 10; 11; 43969; 4396; 11; 17000; ; ; ; 
56156; 10; 0; 10; 6; 38415; 3841; 6; 17000; ; ; ; 
57775; 10; 0; 10; 9; 85; 8; 9; 15000; ; ; ; 
62977; 10; 0; 10; 8; 45680; 4568; 8; 17000; ; ; ; 
57027; 10; 0; 10; 6; 39751; 3975; 6; 17000; ; ; ; 
93799; 10; 0; 10; 16; 37389; 3738; 16; 56000; ; ; ; 
48203; 10; 0; 10; 8; 772; 77; 8; 12000; ; ; ; 
72864; 10; 0; 10; 10; 35169; 3516; 10; 37000; ; ; ; 
59326; 10; 0; 10; 11; 32445; 3244; 11; 26000; ; ; ; 
57352; 10; 0; 10; 10; 183; 18; 10; 23000; ; ; ; 
45882; 10; 0; 10; 9; 32636; 3263; 9; 13000; ; ; ; 
47440; 10; 0; 10; 12; 111; 11; 12; 44000; ; ; ; 
32493; 10; 0; 10; 0; 32461; 3246; 0; 0; ; ; ; 
77105; 10; 0; 10; 16; 340; 34; 16; 48000; ; ; ; 
37623; 10; 0; 10; 6; 30099; 3009; 6; 7000; ; ; ; 
46633; 10; 0; 10; 11; 28220; 2822; 11; 18000; ; ; ; 
32387; 10; 0; 10; 5; 410; 41; 5; 5000; ; ; ; 
48891; 10; 0; 10; 10; 66; 6; 10; 23000; ; ; ; 
49271; 10; 0; 10; 9; 24736; 2473; 9; 24000; ; ; ; 
61891; 10; 1; 10; 11; 23327; 2332; 10; 38000; ; ; ; 
34144; 10; 0; 10; 8; 22490; 2249; 8; 11000; ; ; ; 
27716; 10; 0; 10; 2; 24192; 2419; 2; 3000; ; ; ; 
35057; 10; 0; 10; 8; 21414; 2141; 8; 13000; ; ; ; 
17621; 10; 0; 10; 10; 287; 28; 10; 13000; ; ; ; 
46424; 10; 0; 10; 12; 21104; 2110; 12; 25000; ; ; ; 
87608; 10; 2; 10; 18; 88; 8; 16; 69000; ; ; ; 
37231; 10; 0; 10; 6; 19411; 1941; 6; 17000; ; ; ; 
29312; 10; 0; 10; 9; 16466; 1646; 9; 12000; ; ; ; 
152358; 10; 4; 10; 30; 17400; 1740; 26; 134000; ; ; ; 
16078; 10; 0; 10; 1; 14998; 1499; 1; 1000; ; ; ; 
60378; 10; 0; 10; 14; 166; 16; 14; 46000; ; ; ; 
129280; 10; 2; 10; 26; 15368; 1536; 24; 113000; ; ; ; 
19743; 10; 0; 10; 10; 1964; 196; 10; 17000; ; ; ; 
28941; 10; 0; 10; 9; 320; 32; 9; 16000; ; ; ; 
90071; 10; 2; 10; 23; 9616; 961; 21; 80000; ; ; ; 
65745; 10; 1; 10; 19; 172; 17; 18; 55000; ; ; ; 
22198; 10; 0; 10; 9; 7824; 782; 9; 14000; ; ; ; 
22055; 10; 0; 10; 10; 92; 9; 10; 16000; ; ; ; 
34981; 10; 0; 10; 14; 57; 5; 14; 28000; ; ; ; 
11194; 10; 0; 10; 1; 10084; 1008; 1; 1000; ; ; ; 
