Total Time;ClientToModule Success;ClientToModule Error;ResilienceModuleToExternalService Success;ResilienceModuleToExternalService Error;Retry Count;Retry TotalTimeout;CircuitBreaker Count;CircuitBreaker ResetCount;CircuitBreaker TotalOfBreaker
49020;5;5;5;5;;;;				;
49105;2;8;2;8;;;;;
48422;4;6;4;6;;;;;
48397;3;7;3;7;;;;;
48635;4;6;4;6;;;;;
48861;6;4;6;4;;;;;
48657;4;6;4;6;;;;;
49031;8;2;8;2;;;;;
43676;7;3;7;3;;;;;
48825;5;5;5;5;;;;;
48572;3;7;3;7;;;;;
47842;4;6;4;6;;;;;
47355;4;6;4;6;;;;;
47337;5;5;5;5;;;;;
48915;8;2;8;2;;;;;
49426;8;2;8;2;;;;;
48936;5;5;5;5;;;;;
47165;1;9;1;9;;;;;
48679;8;2;8;2;;;;;
47790;5;5;5;5;;;;;
47965;3;7;3;7;;;;;
48547;7;3;7;3;;;;;
49026;8;2;8;2;;;;;
48728;5;5;5;5;;;;;
49357;7;3;7;3;;;;;
48045;6;4;6;4;;;;;
49073;6;4;6;4;;;;;
48496;7;3;7;3;;;;;
49185;6;4;6;4;;;;;
49390;7;3;7;3;;;;;
49198;4;6;4;6;;;;;
39540;3;7;3;7;;;;;
48403;5;5;5;5;;;;;
48036;5;5;5;5;;;;;
47502;4;6;4;6;;;;;
40969;4;6;4;6;;;;;
49023;6;4;6;4;;;;;
48390;3;7;3;7;;;;;
48374;4;6;4;6;;;;;
49375;6;4;6;4;;;;;
49211;4;6;4;6;;;;;
49034;4;6;4;6;;;;;
49210;7;3;7;3;;;;;
48784;4;6;4;6;;;;;
49353;6;4;6;4;;;;;
49415;7;3;7;3;;;;;
49395;6;4;6;4;;;;;
49033;4;6;4;6;;;;;
47813;2;8;2;8;;;;;
49033;7;3;7;3;;;;;
48371;3;7;3;7;;;;;
7418;6;4;6;4;;;;;
48973;5;5;5;5;;;;;
49294;6;4;6;4;;;;;
48741;4;6;4;6;;;;;
48273;7;3;7;3;;;;;
46912;4;6;4;6;;;;;
45046;3;7;3;7;;;;;
44897;7;3;7;3;;;;;
44036;7;3;7;3;;;;;
42363;5;5;5;5;;;;;
41795;3;7;3;7;;;;;
36691;8;2;8;2;;;;;
8110;6;4;6;4;;;;;
38315;6;4;6;4;;;;;
10064;6;4;6;4;;;;;
39268;4;6;4;6;;;;;
37656;5;5;5;5;;;;;
34670;6;4;6;4;;;;;
11090;4;6;4;6;;;;;
34663;5;5;5;5;;;;;
32134;4;6;4;6;;;;;
32903;4;6;4;6;;;;;
31605;7;3;7;3;;;;;
30146;3;7;3;7;;;;;
29601;3;7;3;7;;;;;
28677;7;3;7;3;;;;;
27129;4;6;4;6;;;;;
26400;4;6;4;6;;;;;
25410;5;5;5;5;;;;;
24621;6;4;6;4;;;;;
23255;4;6;4;6;;;;;
22324;3;7;3;7;;;;;
21776;3;7;3;7;;;;;
19965;3;7;3;7;;;;;
20163;5;5;5;5;;;;;
19454;5;5;5;5;;;;;
18178;6;4;6;4;;;;;
18637;4;6;4;6;;;;;
16971;6;4;6;4;;;;;
13090;4;6;4;6;;;;;
49346;6;4;6;4;;;;;
8614;3;7;3;7;;;;;
16109;4;6;4;6;;;;;
14729;7;3;7;3;;;;;
13616;5;5;5;5;;;;;
5584;6;4;6;4;;;;;
11330;6;4;6;4;;;;;
49391;6;4;6;4;;;;;
6337;5;5;5;5;;;;;
