Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker
28375; 5; 5; 5; 5; ; ; ; ; 
28055; 5; 5; 5; 5; ; ; ; ; 
27124; 2; 8; 2; 8; ; ; ; ; 
27732; 5; 5; 5; 5; ; ; ; ; 
28043; 6; 4; 6; 4; ; ; ; ; 
28052; 4; 6; 4; 6; ; ; ; ; 
27779; 5; 5; 5; 5; ; ; ; ; 
28374; 6; 4; 6; 4; ; ; ; ; 
27930; 4; 6; 4; 6; ; ; ; ; 
27524; 5; 5; 5; 5; ; ; ; ; 
28373; 4; 6; 4; 6; ; ; ; ; 
27834; 4; 6; 4; 6; ; ; ; ; 
28359; 5; 5; 5; 5; ; ; ; ; 
27987; 2; 8; 2; 8; ; ; ; ; 
28358; 6; 4; 6; 4; ; ; ; ; 
28149; 3; 7; 3; 7; ; ; ; ; 
28330; 4; 6; 4; 6; ; ; ; ; 
3943; 7; 3; 7; 3; ; ; ; ; 
28367; 5; 5; 5; 5; ; ; ; ; 
28270; 5; 5; 5; 5; ; ; ; ; 
28205; 6; 4; 6; 4; ; ; ; ; 
28437; 5; 5; 5; 5; ; ; ; ; 
28194; 6; 4; 6; 4; ; ; ; ; 
27690; 6; 4; 6; 4; ; ; ; ; 
26942; 2; 8; 2; 8; ; ; ; ; 
26341; 5; 5; 5; 5; ; ; ; ; 
14663; 0; 10; 0; 10; ; ; ; ; 
24375; 6; 4; 6; 4; ; ; ; ; 
23089; 6; 4; 6; 4; ; ; ; ; 
22460; 3; 7; 3; 7; ; ; ; ; 
25341; 6; 4; 6; 4; ; ; ; ; 
19959; 3; 7; 3; 7; ; ; ; ; 
18668; 7; 3; 7; 3; ; ; ; ; 
18463; 5; 5; 5; 5; ; ; ; ; 
17335; 3; 7; 3; 7; ; ; ; ; 
16910; 6; 4; 6; 4; ; ; ; ; 
15412; 3; 7; 3; 7; ; ; ; ; 
20676; 4; 6; 4; 6; ; ; ; ; 
20970; 2; 8; 2; 8; ; ; ; ; 
13348; 6; 4; 6; 4; ; ; ; ; 
12366; 5; 5; 5; 5; ; ; ; ; 
11081; 3; 7; 3; 7; ; ; ; ; 
10365; 6; 4; 6; 4; ; ; ; ; 
8466; 5; 5; 5; 5; ; ; ; ; 
9330; 5; 5; 5; 5; ; ; ; ; 
7592; 7; 3; 7; 3; ; ; ; ; 
13781; 4; 6; 4; 6; ; ; ; ; 
5860; 3; 7; 3; 7; ; ; ; ; 
4838; 3; 7; 3; 7; ; ; ; ; 
6966; 5; 5; 5; 5; ; ; ; ; 
